movie_id,movie_name,date,url,class
1,Toy Story (1995),1-Jan-95,https://www.imdb.com//title/tt0114709/?ref_=fn_al_tt_1,Animation|Children's|Comedy
2,GoldenEye (1995),1-Jan-95,https://www.imdb.com//title/tt0113189/?ref_=fn_al_tt_1,Action|Adventure|Thriller
3,Four Rooms (1995),1-Jan-95,https://www.imdb.com//title/tt0113101/?ref_=fn_al_tt_1,Thriller
4,Get Shorty (1995),1-Jan-95,https://www.imdb.com//title/tt0113161/?ref_=fn_al_tt_1,Action|Comedy|Drama
5,Copycat (1995),1-Jan-95,https://www.imdb.com//title/tt0112722/?ref_=fn_al_tt_1,Crime|Drama|Thriller
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1-Jan-95,https://www.imdb.com//title/tt0115012/?ref_=fn_al_tt_1,Drama
7,Twelve Monkeys (1995),1-Jan-95,https://www.imdb.com//title/tt0114746/?ref_=fn_al_tt_1,Drama|Sci-Fi
8,Babe (1995),1-Jan-95,https://www.imdb.com//title/tt0112431/?ref_=fn_al_tt_1,Children's|Comedy|Drama
9,Dead Man Walking (1995),1-Jan-95,https://www.imdb.com//title/tt0112818/?ref_=fn_al_tt_1,Drama
10,Richard III (1995),22-Jan-96,https://www.imdb.com//title/tt0114279/?ref_=fn_al_tt_1,Drama|War
11,Seven (Se7en) (1995),1-Jan-95,#,Crime|Thriller
12,"Usual Suspects, The (1995)",14-Aug-95,https://www.imdb.com//title/tt0114814/?ref_=fn_al_tt_1,Crime|Thriller
13,Mighty Aphrodite (1995),30-Oct-95,https://www.imdb.com//title/tt0113819/?ref_=fn_al_tt_1,Comedy
14,"Postino, Il (1994)",1-Jan-94,https://www.imdb.com//title/tt0110877/?ref_=fn_al_tt_1,Drama|Romance
15,Mr. Holland's Opus (1995),29-Jan-96,https://www.imdb.com//title/tt0113862/?ref_=fn_al_tt_1,Drama
16,French Twist (Gazon maudit) (1995),1-Jan-95,#,Comedy|Romance
17,From Dusk Till Dawn (1996),5-Feb-96,https://www.imdb.com//title/tt0116367/?ref_=fn_al_tt_1,Action|Comedy|Crime|Horror|Thriller
18,"White Balloon, The (1995)",1-Jan-95,https://www.imdb.com//title/tt0112445/?ref_=fn_al_tt_1,Drama
19,Antonia's Line (1995),1-Jan-95,https://www.imdb.com//title/tt0112379/?ref_=fn_al_tt_1,Drama
20,Angels and Insects (1995),1-Jan-95,https://www.imdb.com//title/tt0112365/?ref_=fn_al_tt_1,Drama|Romance
21,Muppet Treasure Island (1996),16-Feb-96,https://www.imdb.com//title/tt0117110/?ref_=fn_al_tt_1,Action|Adventure|Comedy|Musical|Thriller
22,Braveheart (1995),16-Feb-96,https://www.imdb.com//title/tt0112573/?ref_=fn_al_tt_1,Action|Drama|War
23,Taxi Driver (1976),16-Feb-96,https://www.imdb.com//title/tt0075314/?ref_=fn_al_tt_1,Drama|Thriller
24,Rumble in the Bronx (1995),23-Feb-96,https://www.imdb.com//title/tt0113326/?ref_=fn_al_tt_1,Action|Adventure|Crime
25,"Birdcage, The (1996)",8-Mar-96,https://www.imdb.com//title/tt0115685/?ref_=fn_al_tt_1,Comedy
26,"Brothers McMullen, The (1995)",1-Jan-95,https://www.imdb.com//title/tt0112585/?ref_=fn_al_tt_1,Comedy
27,Bad Boys (1995),1-Jan-95,https://www.imdb.com//title/tt0112442/?ref_=fn_al_tt_1,Action
28,Apollo 13 (1995),1-Jan-95,https://www.imdb.com//title/tt0112384/?ref_=fn_al_tt_1,Action|Drama|Thriller
29,Batman Forever (1995),1-Jan-95,https://www.imdb.com//title/tt0112462/?ref_=fn_al_tt_1,Action|Adventure|Comedy|Crime
30,Belle de jour (1967),1-Jan-67,https://www.imdb.com//title/tt0061395/?ref_=fn_al_tt_1,Drama
31,Crimson Tide (1995),1-Jan-95,https://www.imdb.com//title/tt0112740/?ref_=fn_al_tt_1,Drama|Thriller|War
32,Crumb (1994),1-Jan-94,https://www.imdb.com//title/tt0109508/?ref_=fn_al_tt_1,Documentary
33,Desperado (1995),1-Jan-95,https://www.imdb.com//title/tt0112851/?ref_=fn_al_tt_1,Action|Romance|Thriller
34,"Doom Generation, The (1995)",1-Jan-95,https://www.imdb.com//title/tt0112887/?ref_=fn_al_tt_1,Comedy|Drama
35,Free Willy 2: The Adventure Home (1995),1-Jan-95,https://www.imdb.com//title/tt0113114/?ref_=fn_al_tt_1,Adventure|Children's|Drama
36,Mad Love (1995),1-Jan-95,https://www.imdb.com//title/tt0113729/?ref_=fn_al_tt_1,Drama|Romance
37,Nadja (1994),1-Jan-94,https://www.imdb.com//title/tt0110620/?ref_=fn_al_tt_1,Drama
38,"Net, The (1995)",1-Jan-95,https://www.imdb.com//title/tt0113957/?ref_=fn_al_tt_1,Sci-Fi|Thriller
39,Strange Days (1995),1-Jan-95,https://www.imdb.com//title/tt0114558/?ref_=fn_al_tt_1,Action|Crime|Sci-Fi
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1-Jan-95,https://www.imdb.com//title/tt0114682/?ref_=fn_al_tt_1,Comedy
41,Billy Madison (1995),1-Jan-95,https://www.imdb.com//title/tt0112508/?ref_=fn_al_tt_1,Comedy
42,Clerks (1994),1-Jan-94,https://www.imdb.com//title/tt0109445/?ref_=fn_al_tt_1,Comedy
43,Disclosure (1994),1-Jan-94,https://www.imdb.com//title/tt0109635/?ref_=fn_al_tt_1,Drama|Thriller
44,Dolores Claiborne (1994),1-Jan-94,https://www.imdb.com//title/tt0109642/?ref_=fn_al_tt_1,Drama|Thriller
45,Eat Drink Man Woman (1994),1-Jan-94,https://www.imdb.com//title/tt0111797/?ref_=fn_al_tt_1,Comedy|Drama
46,Exotica (1994),1-Jan-94,https://www.imdb.com//title/tt0109759/?ref_=fn_al_tt_1,Drama
47,Ed Wood (1994),1-Jan-94,https://www.imdb.com//title/tt0109707/?ref_=fn_al_tt_1,Comedy|Drama
48,Hoop Dreams (1994),1-Jan-94,https://www.imdb.com//title/tt0110057/?ref_=fn_al_tt_1,Documentary
49,I.Q. (1994),1-Jan-94,https://www.imdb.com//title/tt0110099/?ref_=fn_al_tt_1,Comedy|Romance
50,Star Wars (1977),1-Jan-77,https://www.imdb.com//title/tt0076759/?ref_=fn_al_tt_1,Action|Adventure|Romance|Sci-Fi|War
51,Legends of the Fall (1994),1-Jan-94,https://www.imdb.com//title/tt0110322/?ref_=fn_al_tt_1,Drama|Romance|War
52,"Madness of King George, The (1994)",1-Jan-94,https://www.imdb.com//title/tt0110428/?ref_=fn_al_tt_1,Drama
53,Natural Born Killers (1994),1-Jan-94,https://www.imdb.com//title/tt0110632/?ref_=fn_al_tt_1,Action|Thriller
54,Outbreak (1995),1-Jan-95,https://www.imdb.com//title/tt0114069/?ref_=fn_al_tt_1,Action|Drama|Thriller
55,"Professional, The (1994)",1-Jan-94,https://www.imdb.com//title/tt0110413/?ref_=fn_al_tt_1,Crime|Drama|Romance|Thriller
56,Pulp Fiction (1994),1-Jan-94,https://www.imdb.com//title/tt0110912/?ref_=fn_al_tt_1,Crime|Drama
57,Priest (1994),1-Jan-94,https://www.imdb.com//title/tt0110889/?ref_=fn_al_tt_1,Drama
58,Quiz Show (1994),1-Jan-94,https://www.imdb.com//title/tt0110932/?ref_=fn_al_tt_1,Drama
59,Three Colors: Red (1994),1-Jan-94,https://www.imdb.com//title/tt0111495/?ref_=fn_al_tt_1,Drama
60,Three Colors: Blue (1993),1-Jan-93,https://www.imdb.com//title/tt0108394/?ref_=fn_al_tt_1,Drama
61,Three Colors: White (1994),1-Jan-94,https://www.imdb.com//title/tt0111507/?ref_=fn_al_tt_1,Drama
62,Stargate (1994),1-Jan-94,https://www.imdb.com//title/tt0111282/?ref_=fn_al_tt_1,Action|Adventure|Sci-Fi
63,"Santa Clause, The (1994)",1-Jan-94,https://www.imdb.com//title/tt0111070/?ref_=fn_al_tt_1,Children's|Comedy
64,"Shawshank Redemption, The (1994)",1-Jan-94,https://www.imdb.com//title/tt0111161/?ref_=fn_al_tt_1,Drama
65,What's Eating Gilbert Grape (1993),1-Jan-93,https://www.imdb.com//title/tt0108550/?ref_=fn_al_tt_1,Comedy|Drama
66,While You Were Sleeping (1995),1-Jan-95,https://www.imdb.com//title/tt0114924/?ref_=fn_al_tt_1,Comedy|Romance
67,Ace Ventura: Pet Detective (1994),1-Jan-94,https://www.imdb.com//title/tt0109040/?ref_=fn_al_tt_1,Comedy
68,"Crow, The (1994)",1-Jan-94,https://www.imdb.com//title/tt0109506/?ref_=fn_al_tt_1,Action|Romance|Thriller
69,Forrest Gump (1994),1-Jan-94,https://www.imdb.com//title/tt0109830/?ref_=fn_al_tt_1,Comedy|Romance|War
70,Four Weddings and a Funeral (1994),1-Jan-94,https://www.imdb.com//title/tt0109831/?ref_=fn_al_tt_1,Comedy|Romance
71,"Lion King, The (1994)",1-Jan-94,https://www.imdb.com//title/tt0110357/?ref_=fn_al_tt_1,Animation|Children's|Musical
